"lake","frog_number","complete_bolus","order","family","length","frog_length","frog_weight","frog_sex","fish","aquatic","frog_id"
"Adams",1,"yes","Araneae","Unknown",5.9,66.8,24.5,"F",0,0,"Adams1"
"Adams",1,"yes","Araneae","Unknown",1.6,66.8,24.5,"F",0,0,"Adams1"
"Adams",1,"yes","Coleoptera","Unknown",9.6,66.8,24.5,"F",0,0,"Adams1"
"Adams",1,"yes","Diptera","Unknown",NA,66.8,24.5,"F",0,NA,"Adams1"
"Adams",1,"yes","Hymenoptera","Formicidae",9.1,66.8,24.5,"F",0,0,"Adams1"
"Adams",1,"yes","Neuroptera","Raphididae",NA,66.8,24.5,"F",0,0,"Adams1"
"Adams",1,"yes","Trichoptera","Limnephilidae",NA,66.8,24.5,"F",0,1,"Adams1"
"Adams",2,"no","Araneae","Unknown",3.9,48.3,8.5,"M",0,0,"Adams2"
"Adams",2,"no","Diptera","Therevidae",10.7,48.3,8.5,"M",0,0,"Adams2"
"Adams",2,"no","Diptera","Tipulidae",11.5,48.3,8.5,"M",0,1,"Adams2"
"Adams",2,"no","Hemiptera","Gerridae",10,48.3,8.5,"M",0,1,"Adams2"
"Adams",2,"no","Hemiptera","Saldidae",4.1,48.3,8.5,"M",0,0,"Adams2"
"Adams",2,"no","Trichoptera","Limnephilidae",14,48.3,8.5,"M",0,1,"Adams2"
"Adams",3,"yes","Araneae","Unknown",2.5,46.4,8,"F",0,0,"Adams3"
"Adams",3,"yes","Araneae","Unknown",4,46.4,8,"F",0,0,"Adams3"
"Adams",3,"yes","Araneae","Unknown",6,46.4,8,"F",0,0,"Adams3"
"Adams",3,"yes","Araneae","Unknown",4.7,46.4,8,"F",0,0,"Adams3"
"Adams",3,"yes","Diptera","Sciaridae",3.1,46.4,8,"F",0,0,"Adams3"
"Adams",3,"yes","Hymenoptera","Formicidae",NA,46.4,8,"F",0,0,"Adams3"
"Adams",3,"yes","Odonata","Coenagrionidae",NA,46.4,8,"F",0,1,"Adams3"
"Adams",3,"yes","Odonata","Coenagrionidae",NA,46.4,8,"F",0,1,"Adams3"
"Adams",3,"yes","Odonata","Coenagrionidae",NA,46.4,8,"F",0,1,"Adams3"
"Adams",4,"yes","Coleoptera","Chrysomelidae",10.3,82.8,56,"F",0,0,"Adams4"
"Adams",4,"yes","Coleoptera","Melandryidae",5.6,82.8,56,"F",0,0,"Adams4"
"Adams",4,"yes","Diptera","Unknown",2,82.8,56,"F",0,NA,"Adams4"
"Adams",4,"yes","Hemiptera","Gerridae",13.9,82.8,56,"F",0,1,"Adams4"
"Adams",4,"yes","Hemiptera","Gerridae",9.6,82.8,56,"F",0,1,"Adams4"
"Adams",4,"yes","Hemiptera","Saldidae",4,82.8,56,"F",0,0,"Adams4"
"Adams",4,"yes","Hemiptera","Gerridae",17,82.8,56,"F",0,1,"Adams4"
"Adams",4,"yes","Homoptera","Aphidoidea",NA,82.8,56,"F",0,0,"Adams4"
"Adams",4,"yes","Hymenoptera","Formicidae",6.5,82.8,56,"F",0,0,"Adams4"
"Adams",4,"yes","Odonata","Coenagrionidae",9.9,82.8,56,"F",0,1,"Adams4"
"Adams",4,"yes","Unknown","Unknown",4.9,82.8,56,"F",0,NA,"Adams4"
"Adams",4,"yes","Unknown","Unknown",4.4,82.8,56,"F",0,NA,"Adams4"
"Adams",4,"yes","Unknown","Unknown",NA,82.8,56,"F",0,NA,"Adams4"
"Adams",5,"yes","Araneae","Unknown",3.3,44.4,8.5,"M",0,0,"Adams5"
"Adams",5,"yes","Araneae","Unknown",NA,44.4,8.5,"M",0,0,"Adams5"
"Adams",5,"yes","Coleoptera","Unknown",NA,44.4,8.5,"M",0,NA,"Adams5"
"Adams",5,"yes","Coleoptera","Unknown",NA,44.4,8.5,"M",0,NA,"Adams5"
"Adams",5,"yes","Coleoptera","Unknown",NA,44.4,8.5,"M",0,NA,"Adams5"
"Adams",5,"yes","Diptera","Muscoidea",5.7,44.4,8.5,"M",0,NA,"Adams5"
"Adams",5,"yes","Hemiptera","Gerridae",NA,44.4,8.5,"M",0,1,"Adams5"
"Adams",5,"yes","Hymenoptera","Formicidae",6.3,44.4,8.5,"M",0,0,"Adams5"
"Adams",5,"yes","Trichoptera","Limnephilidae",NA,44.4,8.5,"M",0,1,"Adams5"
"Adams",6,"no","Hemiptera","Gerridae",9.3,46.1,10,"M",0,1,"Adams6"
"Adams",6,"no","Hemiptera","Gerridae",NA,46.1,10,"M",0,1,"Adams6"
"Adams",6,"no","Hymenoptera","Unknown",NA,46.1,10,"M",0,NA,"Adams6"
"Adams",6,"no","Odonata","Unknown",NA,46.1,10,"M",0,1,"Adams6"
"Adams",6,"no","Odonata","Unknown",NA,46.1,10,"M",0,1,"Adams6"
"Adams",7,"no","Hemiptera","Gerridae",NA,46.2,9,"F",0,1,"Adams7"
"Adams",8,"no","Diptera","Unknown",11.2,63.3,26.5,"M",0,NA,"Adams8"
"Adams",8,"no","Hymenoptera","Formicidae",4,63.3,26.5,"M",0,0,"Adams8"
"Adams",8,"no","Odonata","Coenagrionidae",30.7,63.3,26.5,"M",0,1,"Adams8"
"Adams",8,"no","Odonata","Coenagrionidae",31.3,63.3,26.5,"M",0,1,"Adams8"
"Adams",8,"no","Odonata","Coenagrionidae",NA,63.3,26.5,"M",0,1,"Adams8"
"Adams",8,"no","Odonata","Coenagrionidae",NA,63.3,26.5,"M",0,1,"Adams8"
"Adams",9,"yes","Araneae","Unknown",NA,49.1,10,"F",0,0,"Adams9"
"Adams",9,"yes","Coleoptera","Unknown",NA,49.1,10,"F",0,NA,"Adams9"
"Adams",9,"yes","Coleoptera","Unknown",NA,49.1,10,"F",0,NA,"Adams9"
"Adams",9,"yes","Coleoptera","Unknown",4.5,49.1,10,"F",0,NA,"Adams9"
"Adams",9,"yes","Diptera","Tabanidae",NA,49.1,10,"F",0,0,"Adams9"
"Adams",9,"yes","Diptera","Tipulidae",NA,49.1,10,"F",0,1,"Adams9"
"Adams",9,"yes","Hemiptera","Saldidae",3.9,49.1,10,"F",0,0,"Adams9"
"Adams",9,"yes","Hemiptera","Gerridae",NA,49.1,10,"F",0,1,"Adams9"
"Adams",9,"yes","Odonata","Coenagrionidae",31.6,49.1,10,"F",0,1,"Adams9"
"Adams",10,"no","Araneae","Unknown",4.8,44.4,8,"M",0,NA,"Adams10"
"Adams",10,"no","Hymenoptera","Ichneumonidae",10.1,44.4,8,"M",0,0,"Adams10"
"Adams",11,"yes","Araneae","Unknown",4.4,62.5,24,"M",0,0,"Adams11"
"Adams",11,"yes","Araneae","Unknown",4.1,62.5,24,"M",0,0,"Adams11"
"Adams",11,"yes","Araneae","Unknown",1.1,62.5,24,"M",0,0,"Adams11"
"Adams",11,"yes","Araneae","Unknown",NA,62.5,24,"M",0,0,"Adams11"
"Adams",11,"yes","Diptera","Muscoidea",4,62.5,24,"M",0,NA,"Adams11"
"Adams",11,"yes","Diptera","Tipulidae",NA,62.5,24,"M",0,1,"Adams11"
"Adams",11,"yes","Diptera","Tipulidae",NA,62.5,24,"M",0,1,"Adams11"
"Adams",11,"yes","Diptera","Tipulidae",NA,62.5,24,"M",0,1,"Adams11"
"Adams",11,"yes","Diptera","Tipulidae",NA,62.5,24,"M",0,1,"Adams11"
"Adams",11,"yes","Diptera","Unknown",NA,62.5,24,"M",0,NA,"Adams11"
"Adams",11,"yes","Diptera","Unknown",NA,62.5,24,"M",0,NA,"Adams11"
"Adams",11,"yes","Hemiptera","Gerridae",NA,62.5,24,"M",0,1,"Adams11"
"Adams",11,"yes","Hymenoptera","Vespidae",10.1,62.5,24,"M",0,0,"Adams11"
"Adams",11,"yes","Hymenoptera","Vespidae",NA,62.5,24,"M",0,0,"Adams11"
"Adams",11,"yes","Odonata","Coenagrionidae",NA,62.5,24,"M",0,1,"Adams11"
"Adams",11,"yes","Trichoptera","Limnephilidae",NA,62.5,24,"M",0,1,"Adams11"
"Lion",1,"no","Hymenoptera","Formicidae",6,68.9,34.5,"F",1,0,"Lion1"
"Lion",1,"no","Hymenoptera","Formicidae",7.2,68.9,34.5,"F",1,0,"Lion1"
"Lion",1,"no","Hymenoptera","Formicidae",6.8,68.9,34.5,"F",1,0,"Lion1"
"Lion",1,"no","Hymenoptera","Formicidae",7.2,68.9,34.5,"F",1,0,"Lion1"
"Lion",1,"no","Hymenoptera","Unknown",3.1,68.9,34.5,"F",1,0,"Lion1"
"Lion",1,"no","Orthoptera","Unknown",10.1,68.9,34.5,"F",1,0,"Lion1"
"Lion",1,"no","Phalangida","Unknown",5.5,68.9,34.5,"F",1,0,"Lion1"
"Lion",1,"no","Phalangida","Unknown",4.8,68.9,34.5,"F",1,0,"Lion1"
"Lion",2,"no","Nematomorpha","Unknown",43.9,60.3,21,"M",1,NA,"Lion2"
"Lion",2,"no","Nematomorpha","Unknown",42.2,60.3,21,"M",1,NA,"Lion2"
"Lion",3,"no","Araneae","Unknown",3.6,65.6,25.5,"M",1,0,"Lion3"
"Lion",3,"no","Araneae","Unknown",4.4,65.6,25.5,"M",1,0,"Lion3"
"Lion",3,"no","Araneae","Unknown",2.9,65.6,25.5,"M",1,0,"Lion3"
"Lion",3,"no","Araneae","Unknown",3.7,65.6,25.5,"M",1,0,"Lion3"
"Lion",3,"no","Coleoptera","Unknown",19.7,65.6,25.5,"M",1,NA,"Lion3"
"Lion",3,"no","Hymenoptera","Formicidae",7.1,65.6,25.5,"M",1,0,"Lion3"
"Lion",3,"no","Hymenoptera","Formicidae",6.1,65.6,25.5,"M",1,0,"Lion3"
"Lion",3,"no","Orthoptera","Unknown",NA,65.6,25.5,"M",1,0,"Lion3"
"Lion",3,"no","Orthoptera","Unknown",NA,65.6,25.5,"M",1,0,"Lion3"
"Lion",3,"no","Orthoptera","Unknown",NA,65.6,25.5,"M",1,0,"Lion3"
"Lion",3,"no","Unknown","Unknown",NA,65.6,25.5,"M",1,NA,"Lion3"
"Lion",4,"no","Araneae","Unknown",2.4,73.2,44,"F",1,0,"Lion4"
"Lion",4,"no","Coleoptera","Unknown",5.3,73.2,44,"F",1,NA,"Lion4"
"Lion",4,"no","Coleoptera","Unknown",3.6,73.2,44,"F",1,NA,"Lion4"
"Lion",4,"no","Diptera","Tachinidae",8,73.2,44,"F",1,0,"Lion4"
"Lion",4,"no","Hymenoptera","Ichneumonidae",6.1,73.2,44,"F",1,0,"Lion4"
"Lion",4,"no","Lepidoptera","Unknown",10.7,73.2,44,"F",1,0,"Lion4"
"Little Caribou",1,"no","Trichoptera","Limnephilidae",15.7,49.1,44,"M",0,1,"Little Caribou1"
"Little Caribou",1,"no","Trichoptera","Limnephilidae",14.4,49.1,44,"M",0,1,"Little Caribou1"
"Little Caribou",1,"no","Trichoptera","Limnephilidae",12.2,49.1,44,"M",0,1,"Little Caribou1"
"Little Caribou",1,"no","Trichoptera","Limnephilidae",12.1,49.1,44,"M",0,1,"Little Caribou1"
"Little Caribou",1,"no","Trichoptera","Limnephilidae",NA,49.1,44,"M",0,1,"Little Caribou1"
"Little Caribou",1,"no","Trichoptera","Limnephilidae",NA,49.1,44,"M",0,1,"Little Caribou1"
"Little Caribou",1,"no","Unknown","Unknown",NA,49.1,44,"M",0,NA,"Little Caribou1"
"Little Caribou",2,"no","Odonata","Coenagrionidae",31.6,50.2,16.5,"M",0,1,"Little Caribou2"
"Little Caribou",3,"yes","Araneae","Unknown",6,53.9,13,"M",0,0,"Little Caribou3"
"Little Caribou",3,"yes","Araneae","Unknown",4.5,53.9,13,"M",0,0,"Little Caribou3"
"Little Caribou",3,"yes","Class Chilopoda","Unknown",10.2,53.9,13,"M",0,NA,"Little Caribou3"
"Little Caribou",3,"yes","Coleoptera","Staphylinidae",7.6,53.9,13,"M",0,0,"Little Caribou3"
"Little Caribou",3,"yes","Coleoptera","Staphylinidae",NA,53.9,13,"M",0,0,"Little Caribou3"
"Little Caribou",3,"yes","Coleoptera","Staphylinidae",NA,53.9,13,"M",0,0,"Little Caribou3"
"Little Caribou",3,"yes","Diptera","Muscoidea",4,53.9,13,"M",0,NA,"Little Caribou3"
"Little Caribou",3,"yes","Diptera","Tachinidae",6.3,53.9,13,"M",0,0,"Little Caribou3"
"Little Caribou",3,"yes","Diptera","Dolichopodidae",NA,53.9,13,"M",0,0,"Little Caribou3"
"Little Caribou",3,"yes","Diptera","Muscoidea",2.3,53.9,13,"M",0,NA,"Little Caribou3"
"Little Caribou",3,"yes","Diptera","Unknown",1.9,53.9,13,"M",0,NA,"Little Caribou3"
"Little Caribou",3,"yes","Diptera","Syrphidae",7.1,53.9,13,"M",0,0,"Little Caribou3"
"Little Caribou",3,"yes","Diptera","Tabanidae",8.3,53.9,13,"M",0,0,"Little Caribou3"
"Little Caribou",3,"yes","Diptera","Unknown",5.7,53.9,13,"M",0,NA,"Little Caribou3"
"Little Caribou",3,"yes","Hymenoptera","Ichneumonidae",10.5,53.9,13,"M",0,0,"Little Caribou3"
"Little Caribou",3,"yes","Orthoptera","Unknown",NA,53.9,13,"M",0,0,"Little Caribou3"
"Little Caribou",4,"no","Coleoptera","Staphylinidae",6.9,58.8,20,"M",0,0,"Little Caribou4"
"Little Caribou",4,"no","Diptera","Muscoidea",4.5,58.8,20,"M",0,NA,"Little Caribou4"
"Little Caribou",4,"no","Odonata","Coenagrionidae",NA,58.8,20,"M",0,1,"Little Caribou4"
"Little Caribou",4,"no","Odonata","Coenagrionidae",NA,58.8,20,"M",0,1,"Little Caribou4"
"Little Caribou",5,"no","Coleoptera","Staphylinidae",6.9,59.9,21,"M",0,0,"Little Caribou5"
"Little Caribou",5,"no","Coleoptera","Staphylinidae",NA,59.9,21,"M",0,0,"Little Caribou5"
"Little Caribou",6,"yes","Coleoptera","Elateridae",12.3,56.1,18.5,"M",0,0,"Little Caribou6"
"Little Caribou",6,"yes","Diptera","Muscoidea",NA,56.1,18.5,"M",0,NA,"Little Caribou6"
"Little Caribou",6,"yes","Hymenoptera","Formicidae",3.3,56.1,18.5,"M",0,0,"Little Caribou6"
"Little Caribou",6,"yes","Hymenoptera","Unknown",NA,56.1,18.5,"M",0,0,"Little Caribou6"
"Little Caribou",6,"yes","Hymenoptera","Unknown",NA,56.1,18.5,"M",0,0,"Little Caribou6"
"Little Caribou",6,"yes","Odonata","Coenagrionidae",32.9,56.1,18.5,"M",0,1,"Little Caribou6"
"Little Caribou",6,"yes","Odonata","Coenagrionidae",NA,56.1,18.5,"M",0,1,"Little Caribou6"
"Little Caribou",6,"yes","Orthoptera","Unknown",NA,56.1,18.5,"M",0,0,"Little Caribou6"
"Little Caribou",7,"yes","Araneae","Unknown",5.7,48.2,10.5,"F",0,0,"Little Caribou7"
"Little Caribou",7,"yes","Coleoptera","Staphylinidae",NA,48.2,10.5,"F",0,0,"Little Caribou7"
"Little Caribou",7,"yes","Coleoptera","Unknown",NA,48.2,10.5,"F",0,NA,"Little Caribou7"
"Little Caribou",7,"yes","Coleoptera","Unknown",NA,48.2,10.5,"F",0,NA,"Little Caribou7"
"Little Caribou",7,"yes","Coleoptera","Unknown",NA,48.2,10.5,"F",0,NA,"Little Caribou7"
"Little Caribou",7,"yes","Hymenoptera","Formicidae",2.8,48.2,10.5,"F",0,0,"Little Caribou7"
"Little Caribou",7,"yes","Hymenoptera","Formicidae",2.8,48.2,10.5,"F",0,0,"Little Caribou7"
"Little Caribou",7,"yes","Odonata","Coenagrionidae",NA,48.2,10.5,"F",0,1,"Little Caribou7"
"Little Caribou",7,"yes","Trichoptera","Limnephilidae",NA,48.2,10.5,"F",0,1,"Little Caribou7"
"Little Caribou",7,"yes","Trichoptera","Limnephilidae",NA,48.2,10.5,"F",0,1,"Little Caribou7"
"Luella",1,"no","Coleoptera","Unknown",10,76.1,48,"F",1,NA,"Luella1"
"Luella",1,"no","Hymenoptera","Vespidae",12.5,76.1,48,"F",1,0,"Luella1"
"Luella",1,"no","Hymenoptera","Ichneumonidae",11.6,76.1,48,"F",1,0,"Luella1"
"Luella",1,"no","Hymenoptera","Ichneumonidae",6,76.1,48,"F",1,0,"Luella1"
"Luella",1,"no","Lepidoptera","Unknown",29.7,76.1,48,"F",1,0,"Luella1"
"Luella",1,"no","Orthoptera","Unknown",NA,76.1,48,"F",1,0,"Luella1"
"Salmon",1,"no","Diptera","Syrphidae",6,55.3,19,"M",1,0,"Salmon1"
"Salmon",1,"no","Hemiptera","Gerridae",5.5,55.3,19,"M",1,1,"Salmon1"
"Salmon",2,"no","Araneae","Unknown",5.2,55.3,19.5,"M",1,0,"Salmon2"
"Salmon",2,"no","Araneae","Unknown",3.5,55.3,19.5,"M",1,0,"Salmon2"
"Salmon",2,"no","Araneae","Unknown",NA,55.3,19.5,"M",1,0,"Salmon2"
"Salmon",2,"no","Diptera","Unknown",6.9,55.3,19.5,"M",1,NA,"Salmon2"
"Salmon",2,"no","Hemiptera","Gerridae",NA,55.3,19.5,"M",1,1,"Salmon2"
"Salmon",3,"yes","Araneae","Unknown",2,52.2,15.5,"M",1,0,"Salmon3"
"Salmon",3,"yes","Coleoptera","Staphylinidae",4.4,52.2,15.5,"M",1,0,"Salmon3"
"Salmon",3,"yes","Coleoptera","Unknown",10.5,52.2,15.5,"M",1,NA,"Salmon3"
"Salmon",3,"yes","Hymenoptera","Vespidae",11.1,52.2,15.5,"M",1,0,"Salmon3"
"Salmon",3,"yes","Lepidoptera","Unknown",NA,52.2,15.5,"M",1,0,"Salmon3"
"Salmon",3,"yes","Trichoptera","Unknown",NA,52.2,15.5,"M",1,1,"Salmon3"
"Salmon",3,"yes","Unknown","Unknown",NA,52.2,15.5,"M",1,NA,"Salmon3"
"Salmon",4,"no","Diptera","Muscoidea",6.4,58.2,21.25,"M",1,NA,"Salmon4"
"Section Line",1,"yes","Trichoptera","Limnephilidae",NA,59.2,22,"F",0,1,"Section Line1"
"Section Line",1,"yes","Trichoptera","Limnephilidae",NA,59.2,22,"F",0,1,"Section Line1"
"Section Line",1,"yes","Trichoptera","Limnephilidae",NA,59.2,22,"F",0,1,"Section Line1"
"Section Line",1,"yes","Trichoptera","Limnephilidae",NA,59.2,22,"F",0,1,"Section Line1"
"Section Line",2,"yes","Araneae","Unknown",2.1,53.5,16,"M",0,0,"Section Line2"
"Section Line",2,"yes","Araneae","Unknown",NA,53.5,16,"M",0,0,"Section Line2"
"Section Line",2,"yes","Hemiptera","Gerridae",9.1,53.5,16,"M",0,1,"Section Line2"
"Section Line",2,"yes","Trichoptera","Limnephilidae",NA,53.5,16,"M",0,1,"Section Line2"
"Section Line",2,"yes","Trichoptera","Limnephilidae",NA,53.5,16,"M",0,1,"Section Line2"
"Section Line",2,"yes","Trichoptera","Limnephilidae",NA,53.5,16,"M",0,1,"Section Line2"
"Section Line",2,"yes","Trichoptera","Limnephilidae",NA,53.5,16,"M",0,1,"Section Line2"
"Section Line",2,"yes","Trichoptera","Limnephilidae",NA,53.5,16,"M",0,1,"Section Line2"
"Section Line",2,"yes","Trichoptera","Limnephilidae",NA,53.5,16,"M",0,1,"Section Line2"
"Section Line",3,"yes","Odonata","Coenagrionidae",30.1,65.2,31,"F",0,1,"Section Line3"
"Section Line",3,"yes","Odonata","Corduliidae",NA,65.2,31,"F",0,1,"Section Line3"
"Section Line",4,"yes","Trichoptera","Limnephilidae",NA,58.7,19.5,"F",0,1,"Section Line4"
"Section Line",4,"yes","Trichoptera","Limnephilidae",NA,58.7,19.5,"F",0,1,"Section Line4"
"Section Line",4,"yes","Trichoptera","Limnephilidae",NA,58.7,19.5,"F",0,1,"Section Line4"
"Section Line",5,"no","Trichoptera","Limnephilidae",18.7,66.2,27.5,"M",0,1,"Section Line5"
"Section Line",5,"no","Trichoptera","Limnephilidae",NA,66.2,27.5,"M",0,1,"Section Line5"
"Section Line",5,"no","Unknown","Unknown",NA,66.2,27.5,"M",0,NA,"Section Line5"
"Section Line",6,"no","Hemiptera","Unknown",4,50.3,14.5,"M",0,0,"Section Line6"
"Section Line",7,"yes","Diptera","Unknown",7.7,66.7,32,"M",0,NA,"Section Line7"
"Section Line",7,"yes","Hymenoptera","Formicidae",NA,66.7,32,"M",0,0,"Section Line7"
"Section Line",7,"yes","Hymenoptera","Formicidae",2.5,66.7,32,"M",0,0,"Section Line7"
"Section Line",7,"yes","Unknown","Unknown",1.9,66.7,32,"M",0,NA,"Section Line7"
"Section Line",7,"yes","Unknown","Unknown",1.5,66.7,32,"M",0,NA,"Section Line7"
"Section Line",7,"yes","Unknown","Unknown",NA,66.7,32,"M",0,NA,"Section Line7"
"Section Line",7,"yes","Unknown","Unknown",NA,66.7,32,"M",0,NA,"Section Line7"
"Section Line",8,"yes","Hymenoptera","Formicidae",11.5,64.4,26,"M",0,0,"Section Line8"
"Section Line",8,"yes","Neuroptera","Unknown",NA,64.4,26,"M",0,NA,"Section Line8"
"Section Line",9,"no","Coleoptera","Staphylinidae",4.5,55.8,17,"M",0,NA,"Section Line9"
"Section Line",9,"no","Diptera","Muscoidea",3.3,55.8,17,"M",0,NA,"Section Line9"
"Section Line",10,"yes","Araneae","Unknown",4.8,56.5,18.5,"M",0,0,"Section Line10"
"Section Line",10,"yes","Neuroptera","Sialidae",9.2,56.5,18.5,"M",0,1,"Section Line10"
"Section Line",10,"yes","Odonata","Coenagrionidae",31.4,56.5,18.5,"M",0,1,"Section Line10"
"Section Line",11,"yes","Hemiptera","Gerridae",9.4,56.4,19.5,"M",0,1,"Section Line11"
"Section Line",11,"yes","Trichoptera","Limnephilidae",17.5,56.4,19.5,"M",0,1,"Section Line11"
"Section Line",11,"yes","Trichoptera","Unknown",NA,56.4,19.5,"M",0,1,"Section Line11"
"Section Line",12,"no","Hemiptera","Gerridae",NA,65.6,30,"M",0,1,"Section Line12"
"Section Line",13,"no","Hemiptera","Gerridae",10,53.4,18.5,"M",0,1,"Section Line13"
"Section Line",13,"no","Hymenoptera","Ichneumonidae",6.9,53.4,18.5,"M",0,0,"Section Line13"
"Section Line",14,"no","Trichoptera","Limnephilidae",16,59.1,20.5,"M",0,1,"Section Line14"
"Section Line",15,"yes","Ephemeroptera","Baetidae",6.7,68.6,34,"F",0,1,"Section Line15"
"Section Line",15,"yes","Hymenoptera","Formicidae",6.4,68.6,34,"F",0,0,"Section Line15"
"Section Line",15,"yes","Neuroptera","Sialidae",11,68.6,34,"F",0,1,"Section Line15"
"Section Line",15,"yes","Trichoptera","Limnephilidae",NA,68.6,34,"F",0,1,"Section Line15"
"Section Line",15,"yes","Trichoptera","Limnephilidae",NA,68.6,34,"F",0,1,"Section Line15"
"Section Line",16,"yes","Trichoptera","Limnephilidae",19.2,54.2,17.5,"F",0,1,"Section Line16"
"Section Line",17,"no","Unknown","Unknown",NA,54.4,17.5,"F",0,NA,"Section Line17"
"Upper Stoddard",1,"no","Coleoptera","Unknown",NA,54.8,13,"F",1,0,"Upper Stoddard1"
"Upper Stoddard",1,"no","Hemiptera","Gerridae",NA,54.8,13,"F",1,1,"Upper Stoddard1"
"Upper Stoddard",1,"no","Neuroptera","Raphididae",NA,54.8,13,"F",1,0,"Upper Stoddard1"
"Upper Stoddard",2,"yes","Coleoptera","Dytiscidae",3.1,46.4,11.5,"F",1,1,"Upper Stoddard2"
"Upper Stoddard",2,"yes","Coleoptera","Unknown",NA,46.4,11.5,"F",1,NA,"Upper Stoddard2"
"Upper Stoddard",2,"yes","Hemiptera","Gerridae",NA,46.4,11.5,"F",1,1,"Upper Stoddard2"
"Upper Stoddard",2,"yes","Hymenoptera","Colletidae",NA,46.4,11.5,"F",1,0,"Upper Stoddard2"
"Upper Stoddard",3,"yes","Araneae","Unknown",4.7,69.4,45.5,"F",1,0,"Upper Stoddard3"
"Upper Stoddard",3,"yes","Araneae","Unknown",6.5,69.4,45.5,"F",1,0,"Upper Stoddard3"
"Upper Stoddard",3,"yes","Coleoptera","Unknown",5.5,69.4,45.5,"F",1,NA,"Upper Stoddard3"
"Upper Stoddard",3,"yes","Hemiptera","Gerridae",9.7,69.4,45.5,"F",1,1,"Upper Stoddard3"
"Upper Stoddard",3,"yes","Hemiptera","Gerridae",9.3,69.4,45.5,"F",1,1,"Upper Stoddard3"
"Upper Stoddard",3,"yes","Hemiptera","Gerridae",9.3,69.4,45.5,"F",1,1,"Upper Stoddard3"
"Upper Stoddard",3,"yes","Hymenoptera","Vespidae",10,69.4,45.5,"F",1,0,"Upper Stoddard3"
"Upper Stoddard",3,"yes","Hymenoptera","Formicidae",NA,69.4,45.5,"F",1,0,"Upper Stoddard3"
"Upper Stoddard",3,"yes","Trichoptera","Limnephilidae",NA,69.4,45.5,"F",1,1,"Upper Stoddard3"
"Upper Stoddard",4,"yes","Araneae","Unknown",12.3,74.3,43,"F",1,0,"Upper Stoddard4"
"Upper Stoddard",4,"yes","Araneae","Unknown",12.7,74.3,43,"F",1,0,"Upper Stoddard4"
"Upper Stoddard",4,"yes","Hemiptera","Gerridae",10,74.3,43,"F",1,1,"Upper Stoddard4"
"Upper Stoddard",4,"yes","Odonata","Coenagrionidae",30.8,74.3,43,"F",1,1,"Upper Stoddard4"
"Upper Stoddard",4,"yes","Odonata","Libellulidae",NA,74.3,43,"F",1,1,"Upper Stoddard4"
"Upper Stoddard",4,"yes","Odonata","Libellulidae",NA,74.3,43,"F",1,1,"Upper Stoddard4"
"Upper Stoddard",4,"yes","Odonata","Coenagrionidae",27.2,74.3,43,"F",1,1,"Upper Stoddard4"
"Upper Stoddard",4,"yes","Orthoptera","Unknown",NA,74.3,43,"F",1,0,"Upper Stoddard4"
"Upper Stoddard",4,"yes","Orthoptera","Unknown",NA,74.3,43,"F",1,0,"Upper Stoddard4"
"Upper Stoddard",5,"yes","Coleoptera","Curculionidae",8.1,73.5,40,"F",1,0,"Upper Stoddard5"
"Upper Stoddard",5,"yes","Diptera","Mycetophilidae",NA,73.5,40,"F",1,0,"Upper Stoddard5"
"Upper Stoddard",5,"yes","Gastropoda","Unknown",12.1,73.5,40,"F",1,NA,"Upper Stoddard5"
"Upper Stoddard",5,"yes","Hymenoptera","Formicidae",NA,73.5,40,"F",1,0,"Upper Stoddard5"
"Upper Stoddard",5,"yes","Orthoptera","Unknown",13.6,73.5,40,"F",1,0,"Upper Stoddard5"
"Upper Stoddard",5,"yes","Orthoptera","Unknown",NA,73.5,40,"F",1,0,"Upper Stoddard5"
"Upper Stoddard",5,"yes","Orthoptera","Unknown",NA,73.5,40,"F",1,0,"Upper Stoddard5"
"Upper Stoddard",5,"yes","Orthoptera","Unknown",NA,73.5,40,"F",1,0,"Upper Stoddard5"
